year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2019,Hudson, Daniel,543339,Nationals,WSH,R,96.2,770,1217,7.51234567901234567,0.63270336894001643,FF,4-Seamer,14.5,-15.1,0.5,4,8.5,-8.7,-0.2,-2,0.632558139534884,0.469767441860465
2019,Poche, Colin,621363,Rays,TB,L,92.9,769,870,5.37037037037037037,0.88390804597701149,FF,4-Seamer,10.5,-14.8,4.3,29,3.8,-6.4,-2.7,-42,1,0.209302325581395
2019,Mikolas, Miles,571945,Cardinals,STL,R,93.7,768,2867,17.69753086419753086,0.26787582839204743,FF,4-Seamer,16.2,-14.9,-1.3,-9,5.9,-6.6,-0.7,-11,0.255813953488372,0.390697674418605
2019,Givens, Mychal,571710,Orioles,BAL,R,95.3,767,1092,6.74074074074074074,0.70238095238095238,FF,4-Seamer,17.7,-16.5,-1.1,-7,10,-9.6,0.4,4,0.297674418604651,0.527906976744186
2019,Hess, David,605276,Orioles,BAL,R,93,764,1430,8.82716049382716049,0.53426573426573426,FF,4-Seamer,15,-16.6,1.6,10,3.7,-7.9,-4.2,-53,0.832558139534884,0.0837209302325581
2019,Lopez, Pablo,641154,Marlins,MIA,R,93.6,760,1796,11.08641975308641975,0.42316258351893095,FF,4-Seamer,18.6,-15.8,-2.7,-17,9.8,-7.7,2,26,0.109302325581395,0.718604651162791
2019,Darvish, Yu,506433,Cubs,CHC,R,94.1,759,2848,17.58024691358024691,0.26650280898876404,FF,4-Seamer,14.7,-15.7,1,6,3.6,-7.9,-4.2,-54,0.720930232558139,0.0837209302325581
2019,Woodruff, Brandon,605540,Brewers,MIL,R,96.3,757,1979,12.21604938271604938,0.38251642243557352,FF,4-Seamer,14.3,-14.1,-0.2,-2,8.7,-7.7,1,13,0.474418604651163,0.583720930232558
2019,Tanaka, Masahiro,547888,Yankees,NYY,R,91.5,752,2787,17.20370370370370370,0.26982418371008252,FF,4-Seamer,17.3,-18,0.7,4,10.1,-8.2,1.9,23,0.674418604651163,0.7
2019,Bradley, Archie,605151,Diamondbacks,ARI,R,95.5,751,1284,7.92592592592592592,0.58489096573208722,FF,4-Seamer,13.8,-14.5,0.7,5,8.1,-7.5,0.6,8,0.674418604651163,0.555813953488372
2019,Feliz, Michael,593140,Pirates,PIT,R,95.1,746,1016,6.27160493827160493,0.73425196850393700,FF,4-Seamer,12.5,-14.1,1.6,11,2.4,-6.7,-4.4,-65,0.832558139534884,0.0744186046511628
2019,Freeland, Kyle,607536,Rockies,COL,L,92,738,1780,10.98765432098765432,0.41460674157303370,FF,4-Seamer,18.9,-16.2,-2.7,-17,6.5,-7,-0.5,-7,0.109302325581395,0.423255813953488
2019,Hoffman, Jeff,656546,Rockies,COL,R,93.7,738,1256,7.75308641975308641,0.58757961783439490,FF,4-Seamer,17.5,-15.6,-1.9,-12,11.5,-7.3,4.2,57,0.183720930232558,0.923255813953488
2019,Ryu, Hyun Jin,547943,Dodgers,LAD,L,90.7,738,2706,16.70370370370370370,0.27272727272727272,FF,4-Seamer,19.5,-17.1,-2.4,-14,10.2,-6.9,3.3,48,0.141860465116279,0.855813953488372
2019,Roark, Tanner,543699,Athletics,OAK,R,92.1,736,2992,18.46913580246913580,0.24598930481283422,FF,4-Seamer,15.3,-16.7,1.4,8,5.2,-7.2,-2.1,-29,0.795348837209302,0.251162790697674
2019,Kennedy, Ian,453178,Royals,KC,R,94.4,733,1096,6.76543209876543209,0.66879562043795620,FF,4-Seamer,15,-15.8,0.9,5,10.2,-8.3,1.9,22,0.7,0.7
2019,Milone, Tommy,543548,Mariners,SEA,L,87.1,730,1750,10.80246913580246913,0.41714285714285714,FF,4-Seamer,18.1,-19.8,1.7,8,8.1,-6.4,1.7,26,0.848837209302326,0.667441860465116
2019,Stanek, Ryne,592773,Marlins,MIA,R,97.5,723,1300,8.02469135802469135,0.55615384615384615,FF,4-Seamer,11.9,-13.2,1.4,10,9.1,-7.4,1.7,23,0.795348837209302,0.667441860465116
2019,Jimenez, Joe,641729,Tigers,DET,R,95.1,722,1056,6.55900621118012422,0.68371212121212121,FF,4-Seamer,12.5,-14.9,2.4,16,10.9,-7.8,3.1,39,0.941860465116279,0.827906976744186
2019,May, Trevor,543507,Twins,MIN,R,95.5,718,1166,7.19753086419753086,0.61578044596912521,FF,4-Seamer,13.8,-14.3,0.5,4,5.2,-7.4,-2.2,-30,0.632558139534884,0.237209302325581
2019,Font, Wilmer,521655,Blue Jays,TOR,R,94.4,718,1541,9.51234567901234567,0.46593121349772874,FF,4-Seamer,12.4,-14,1.6,11,5.3,-6.3,-1,-16,0.832558139534884,0.367441860465116
2019,James, Josh,657624,Astros,HOU,R,97.1,717,1142,7.04938271604938271,0.62784588441330998,FF,4-Seamer,13.2,-13.8,0.6,4,8.4,-7.9,0.5,7,0.658139534883721,0.544186046511628
